NAME	TITLE	SCORE	
C16orf70		38.7777	
CYB561A3		38.7709	
CATSPER4		38.7589	
CENPV		38.7267	
SLU7		38.6986	
SBF1		38.686	
SERAC1		38.6744	
CNTF		38.6717	
DCDC2		38.6669	
ZNF777		38.6246	
OLA1		38.6139	
FAM161B		38.6084	
UBR2		38.6052	
MTMR1		38.6001	
FGGY		38.5861	
TRO		38.582	
TRAF3IP1		38.5679	
P2RY2		38.5634	
AHCYL1		38.5631	
VARS		38.5253	
SLC19A2		38.5221	
CLCN4		38.5142	
GPS2		38.505	
MAF		38.443	
CCNK		38.3734	
RRN3		38.3437	
DENND4B		38.3299	
PSMC1		38.3263	
PPP1CB		38.2954	
TOR1AIP1		38.2676	
EIF3B		38.2631	
CCDC97		38.2613	
ELP3		38.2568	
C16orf87		38.2486	
TEX10		38.23	
GPT2		38.2069	
RELT		38.1935	
APPBP2		38.1824	
SNRNP200		38.1556	
KRTAP19-3		38.1473	
HSPBAP1		38.1036	
MTURN		38.0735	
DCAF5		38.0548	
NUB1		38.049	
STAMBP		38.0234	
SSU72		38.0185	
OSBP		38.0149	
PPP3CC		38.0147	
DIAPH1		38.0092	
EXOC6		38.0	
ARRDC2		37.9455	
ZFYVE26		37.9446	
UBE2R2		37.9299	
TOX4		37.921	
UBE3C		37.9007	
RNF114		37.8552	
GEMIN2		37.854	
DICER1		37.844	
IDE		37.8343	
BAAT		37.8097	
VPS33A		37.7557	
SOX6		37.7541	
DUSP26		37.754	
MYBBP1A		37.7205	
ZNF556		37.7054	
SHOX		37.692	
YWHAG		37.6785	
MED6		37.6732	
ILRUN		37.6647	
HECTD3		37.6641	
GLT1D1		37.6561	
MARCH6		37.6395	
UBN2		37.604	
GSE1		37.6036	
TESK2		37.5925	
TMEM150A		37.5879	
DCUN1D1		37.5646	
RANBP2		37.5544	
TM6SF1		37.5487	
EIF3I		37.545	
ADAMTS17		37.5331	
DENR		37.5206	
TMEM38B		37.4962	
KRT31		37.4264	
FAM240C		37.4255	
TRIP12		37.4158	
ANKHD1		37.403	
SFMBT1		37.3264	
GCLM		37.3101	
PRPH2		37.263	
ALKBH5		37.2333	
PITX3		37.232	
TMEM268		37.184	
COPS2		37.1771	
MSTN		37.1359	
PSMD2		37.1287	
ARID5B		37.1001	
STON2		37.0957	
UBIAD1		37.08	
GRSF1		37.0562	
PARD3		37.0481	
LCN8		37.0265	
DHX36		37.0004	
GID4		36.9959	
AKR1C2		36.956	
PIH1D1		36.9524	
DNAJC21		36.9505	
AMH		36.9407	
RSL24D1		36.931	
AIMP2		36.9281	
ERFE		36.9161	
RBFOX1		36.9076	
EML6		36.8753	
PPM1G		36.8616	
PPM1A		36.8307	
